ID1,ID2,lat,long,el
221,221,82.9890341874135,80.3320947010006,-5
222,222,82.9890341874135,80.0571487553482,-11
223,223,82.9890341874135,79.7822028096957,7
224,224,82.9890341874135,79.5072568640433,20
225,225,82.9890341874135,79.2323109183909,13
226,226,82.9890341874135,78.9573649727385,-22
227,227,82.9890341874135,78.6824190270861,-49
228,228,82.9890341874135,78.4074730814337,-80
229,229,82.9890341874135,78.1325271357813,-99
230,230,82.9890341874135,77.8575811901289,-79
231,231,82.9890341874135,77.5826352444764,5
232,232,82.9890341874135,77.307689298824,202
233,233,82.9890341874135,77.0327433531716,408
234,234,82.9890341874135,76.7577974075192,545
235,235,82.9890341874135,76.4828514618668,523
236,236,82.9890341874135,76.2079055162144,291
237,237,82.9890341874135,75.932959570562,208
238,238,82.9890341874135,75.6580136249096,205
239,239,82.9890341874135,75.3830676792572,198
240,240,82.9890341874135,75.1081217336047,260
241,241,82.9890341874135,74.8331757879523,226
242,242,82.9890341874135,74.5582298422999,182
243,243,82.9890341874135,74.2832838966475,148
244,244,82.9890341874135,74.0083379509951,112
245,245,82.9890341874135,73.7333920053427,44
246,246,82.9890341874135,73.4584460596903,29
247,247,82.9890341874135,73.1835001140378,133
248,248,82.9890341874135,72.9085541683854,357
249,249,82.9890341874135,72.633608222733,516
250,250,82.9890341874135,72.3586622770806,299
251,251,82.9890341874135,72.0837163314282,253
252,252,82.9890341874135,71.8087703857758,316
253,253,82.9890341874135,71.5338244401234,267
254,254,82.9890341874135,71.258878494471,193
255,255,82.9890341874135,70.9839325488186,373
256,256,82.9890341874135,70.7089866031661,530
257,257,82.9890341874135,70.4340406575137,523
258,258,82.9890341874135,70.1590947118613,319
259,259,82.9890341874135,69.8841487662089,225
260,260,82.9890341874135,69.6092028205565,215
261,261,82.9890341874135,69.3342568749041,229
262,262,82.9890341874135,69.0593109292517,204
263,263,82.9890341874135,68.7843649835993,107
264,264,82.9890341874135,68.5094190379468,138
265,265,82.9890341874135,68.2344730922944,134
266,266,82.9890341874135,67.959527146642,82
267,267,82.9890341874135,67.6845812009896,69
268,268,82.9890341874135,67.4096352553372,29
269,269,82.9890341874135,67.1346893096848,0
270,270,82.9890341874135,66.8597433640324,-20
271,271,82.9890341874135,66.58479741838,-36
272,272,82.9890341874135,66.3098514727275,-56
276,276,82.9890341874135,65.2100676901179,-47
277,277,82.9890341874135,64.9351217444655,-60
278,278,82.9890341874135,64.6601757988131,-69
279,279,82.9890341874135,64.3852298531607,-76
535,535,82.7140882417611,82.2567163205675,-260
536,536,82.7140882417611,81.981770374915,-106
537,537,82.7140882417611,81.7068244292626,-7
538,538,82.7140882417611,81.4318784836102,38
539,539,82.7140882417611,81.1569325379578,124
540,540,82.7140882417611,80.8819865923054,336
541,541,82.7140882417611,80.607040646653,496
542,542,82.7140882417611,80.3320947010006,279
543,543,82.7140882417611,80.0571487553482,233
544,544,82.7140882417611,79.7822028096957,236
545,545,82.7140882417611,79.5072568640433,238
546,546,82.7140882417611,79.2323109183909,218
547,547,82.7140882417611,78.9573649727385,220
548,548,82.7140882417611,78.6824190270861,367
549,549,82.7140882417611,78.4074730814337,407
550,550,82.7140882417611,78.1325271357813,343
551,551,82.7140882417611,77.8575811901289,253
552,552,82.7140882417611,77.5826352444764,490
553,553,82.7140882417611,77.307689298824,510
554,554,82.7140882417611,77.0327433531716,459
555,555,82.7140882417611,76.7577974075192,422
556,556,82.7140882417611,76.4828514618668,474
557,557,82.7140882417611,76.2079055162144,593
558,558,82.7140882417611,75.932959570562,506
559,559,82.7140882417611,75.6580136249096,443
560,560,82.7140882417611,75.3830676792572,569
561,561,82.7140882417611,75.1081217336047,388
562,562,82.7140882417611,74.8331757879523,345
563,563,82.7140882417611,74.5582298422999,471
564,564,82.7140882417611,74.2832838966475,597
565,565,82.7140882417611,74.0083379509951,396
566,566,82.7140882417611,73.7333920053427,609
567,567,82.7140882417611,73.4584460596903,616
568,568,82.7140882417611,73.1835001140378,562
569,569,82.7140882417611,72.9085541683854,522
570,570,82.7140882417611,72.633608222733,346
571,571,82.7140882417611,72.3586622770806,545
572,572,82.7140882417611,72.0837163314282,805
573,573,82.7140882417611,71.8087703857758,1017
574,574,82.7140882417611,71.5338244401234,1117
575,575,82.7140882417611,71.258878494471,1114
576,576,82.7140882417611,70.9839325488186,967
577,577,82.7140882417611,70.7089866031661,913
578,578,82.7140882417611,70.4340406575137,1008
579,579,82.7140882417611,70.1590947118613,1086
580,580,82.7140882417611,69.8841487662089,1094
581,581,82.7140882417611,69.6092028205565,1066
582,582,82.7140882417611,69.3342568749041,940
583,583,82.7140882417611,69.0593109292517,674
584,584,82.7140882417611,68.7843649835993,428
585,585,82.7140882417611,68.5094190379468,339
586,586,82.7140882417611,68.2344730922944,235
587,587,82.7140882417611,67.959527146642,164
588,588,82.7140882417611,67.6845812009896,345
589,589,82.7140882417611,67.4096352553372,259
590,590,82.7140882417611,67.1346893096848,258
591,591,82.7140882417611,66.8597433640324,291
592,592,82.7140882417611,66.58479741838,325
593,593,82.7140882417611,66.3098514727275,445
594,594,82.7140882417611,66.0349055270751,427
595,595,82.7140882417611,65.7599595814227,370
596,596,82.7140882417611,65.4850136357703,295
597,597,82.7140882417611,65.2100676901179,204
598,598,82.7140882417611,64.9351217444655,124
599,599,82.7140882417611,64.6601757988131,170
600,600,82.7140882417611,64.3852298531607,208
601,601,82.7140882417611,64.1102839075082,175
602,602,82.7140882417611,63.8353379618558,95
603,603,82.7140882417611,63.5603920162034,75
604,604,82.7140882417611,63.285446070551,38
